failure_category,short_reason,failures,affected_projects
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] The build could not read 1 project -> [Help 1],2277,43
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project gt-opengis: Could not collect dependencies for project org.geotools:gt-opengis:jar:21-SNAPSHOT | [ERROR] Failed to read artifact descriptor for javax.media:jai_codec:jar:1.1.3,62,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-runtime-config: Could not resolve dependencies for project org.apache.activemq:activemq-runtime-config:jar:5.10-SNAPSHOT | [ERROR] dependency: org.apache.activemq:activemq-broker:jar:5.10-SNAPSHOT (compile),61,1
DNS_OR_HOST_ERROR,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-openwire-generator: Could not collect dependencies for project org.apache.activemq:activemq-openwire-generator:jar:6.2.0-SNAPSHOT | [ERROR] Failed to read artifact descriptor for org.apache.groovy:groovy:jar:4.0.6,61,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project alluxio-core-server-common: Could not collect dependencies for project org.alluxio:alluxio-core-server-common:jar:2.4.0-SNAPSHOT | [ERROR] Failed to read artifact descriptor for io.atomix.copycat.alluxio:copycat-server:jar:1.2.15,60,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-console: Could not collect dependencies for project org.apache.activemq:activemq-console:bundle:5.4-SNAPSHOT | [ERROR] Failed to read artifact descriptor for net.sf.josql:josql:jar:1.5,56,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project activemq-jaas: Could not collect dependencies for project incubator-activemq:activemq-jaas:jar:4.0-SNAPSHOT | [ERROR] Failed to read artifact descriptor for directory-protocols:kerberos-protocol:jar:0.5,55,1
OTHER,"[DBMINING] BUILD FAILED: dependency:tree | [ERROR] [ERROR] Some problems were encountered while processing the POMs: | [ERROR] Non-resolvable import POM: The following artifacts could not be resolved: net.openhft:chronicle-bom:pom:2.20-SNAPSHOT (absent): Could not transfer artifact net.openhft:chronicle-bom:pom:2.20-SNAPSHOT from/to chronicle-enterprise-snapshots (https://nexus.chronicle.software/content/repositories/snapshots): status code: 401, reason phrase: Unauthorized (401) @ line 47, column 25",55,1
DEPENDENCY_RESOLUTION_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project nifi-framework-api: Could not resolve dependencies for project org.apache.nifi:nifi-framework-api:jar:1.8.0-SNAPSHOT | [ERROR] dependency: org.apache.nifi:nifi-api:jar:1.8.0-SNAPSHOT (compile),54,1
MAVEN_GOAL_FAILED,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project drill-format-mapr: Could not collect dependencies for project org.apache.drill.contrib:drill-format-mapr:jar:2.0.0-SNAPSHOT | [ERROR] Failed to read artifact descriptor for com.mapr.hadoop:maprfs:jar:6.1.0-mapr,54,1
ARTIFACT_NOT_FOUND,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project dbmanul-maven-plugin: Could not resolve dependencies for project org.dbmanul:dbmanul-maven-plugin:maven-plugin:0.1.0-SNAPSHOT | [ERROR] dependency: org.dbmanul:dbmanul-core:jar:0.1.0-SNAPSHOT (compile),53,1
BLOCKED_HTTP_REPOSITORY,[DBMINING] BUILD FAILED: dependency:tree | [ERROR] Failed to execute goal on project gt-opengis: Could not collect dependencies for project org.geotools:gt-opengis:jar:20-SNAPSHOT | [ERROR] Failed to read artifact descriptor for javax.media:jai_codec:jar:1.1.3,52,1
