Name,Support,Line Count,Lines,Bindings
SAPAdaptiveServer -> InH2 -> H2 & OutSAPAdaptiveServer,0.00851063829787234,2,153; 209,X = SAPAdaptiveServer; Y = H2
SAPAdaptiveServer -> InMS_SQL_Server -> MS_SQL_Server & OutSAPAdaptiveServer,0.00851063829787234,2,27; 69,X = SAPAdaptiveServer; Y = MS_SQL_Server
SAPAdaptiveServer -> InIBM_DB2 -> IBM_DB2 & OutSAPAdaptiveServer,0.00851063829787234,2,153; 27,X = SAPAdaptiveServer; Y = IBM_DB2
SAPAdaptiveServer -> InPostgreSQL -> PostgreSQL & OutSAPAdaptiveServer,0.00851063829787234,2,209; 69,X = SAPAdaptiveServer; Y = PostgreSQL
HyperSQL -> InMySQL -> MySQL & OutHyperSQL,0.02127659574468085,5,49; 101; 150; 87; 190,X = HyperSQL; Y = MySQL
HyperSQL -> InHazelcast -> Hazelcast & OutHyperSQL,0.00425531914893617,1,44,X = HyperSQL; Y = Hazelcast
HyperSQL -> InH2 -> H2 & OutHyperSQL,0.01276595744680851,3,212; 101; 190,X = HyperSQL; Y = H2
HyperSQL -> InMS_SQL_Server -> MS_SQL_Server & OutHyperSQL,0.00425531914893617,1,27,X = HyperSQL; Y = MS_SQL_Server
HyperSQL -> InIBM_DB2 -> IBM_DB2 & OutHyperSQL,0.00425531914893617,1,150,X = HyperSQL; Y = IBM_DB2
HyperSQL -> InPostgreSQL -> PostgreSQL & OutHyperSQL,0.02127659574468085,5,0; 101; 150; 87; 110,X = HyperSQL; Y = PostgreSQL
HyperSQL -> InOracle -> Oracle & OutHyperSQL,0.00851063829787234,2,150; 38,X = HyperSQL; Y = Oracle
IBM_DB2 -> InMySQL -> MySQL & OutIBM_DB2,0.00425531914893617,1,150,X = IBM_DB2; Y = MySQL
IBM_DB2 -> InMS_SQL_Server -> MS_SQL_Server & OutIBM_DB2,0.00851063829787234,2,27; 220,X = IBM_DB2; Y = MS_SQL_Server
IBM_DB2 -> InPostgreSQL -> PostgreSQL & OutIBM_DB2,0.00425531914893617,1,220,X = IBM_DB2; Y = PostgreSQL
IBM_DB2 -> InOracle -> Oracle & OutIBM_DB2,0.00425531914893617,1,150,X = IBM_DB2; Y = Oracle
PostgreSQL -> InMySQL -> MySQL & OutPostgreSQL,0.00425531914893617,1,150,X = PostgreSQL; Y = MySQL
PostgreSQL -> InHazelcast -> Hazelcast & OutPostgreSQL,0.00425531914893617,1,77,X = PostgreSQL; Y = Hazelcast
PostgreSQL -> InH2 -> H2 & OutPostgreSQL,0.00425531914893617,1,33,X = PostgreSQL; Y = H2
PostgreSQL -> InMS_SQL_Server -> MS_SQL_Server & OutPostgreSQL,0.00851063829787234,2,171; 222,X = PostgreSQL; Y = MS_SQL_Server
PostgreSQL -> InIBM_DB2 -> IBM_DB2 & OutPostgreSQL,0.00425531914893617,1,150,X = PostgreSQL; Y = IBM_DB2
PostgreSQL -> InOracle -> Oracle & OutPostgreSQL,0.00425531914893617,1,13,X = PostgreSQL; Y = Oracle
SAPSQLAnywhere -> InH2 -> H2 & OutSAPSQLAnywhere,0.00851063829787234,2,153; 209,X = SAPSQLAnywhere; Y = H2
SAPSQLAnywhere -> InMS_SQL_Server -> MS_SQL_Server & OutSAPSQLAnywhere,0.00851063829787234,2,27; 69,X = SAPSQLAnywhere; Y = MS_SQL_Server
SAPSQLAnywhere -> InIBM_DB2 -> IBM_DB2 & OutSAPSQLAnywhere,0.00851063829787234,2,153; 27,X = SAPSQLAnywhere; Y = IBM_DB2
SAPSQLAnywhere -> InPostgreSQL -> PostgreSQL & OutSAPSQLAnywhere,0.00851063829787234,2,209; 69,X = SAPSQLAnywhere; Y = PostgreSQL
Oracle -> InMySQL -> MySQL & OutOracle,0.01276595744680851,3,233; 53; 23,X = Oracle; Y = MySQL
Oracle -> InPostgreSQL -> PostgreSQL & OutOracle,0.00425531914893617,1,23,X = Oracle; Y = PostgreSQL
HBase -> InEtcd -> Etcd & OutHBase,0.00851063829787234,2,44; 69,X = HBase; Y = Etcd
HBase -> InMySQL -> MySQL & OutHBase,0.00425531914893617,1,44,X = HBase; Y = MySQL
MySQL -> InHBase -> HBase & OutMySQL,0.00851063829787234,2,44; 207,X = MySQL; Y = HBase
MySQL -> InRedis -> Redis & OutMySQL,0.01276595744680851,3,58; 214; 138,X = MySQL; Y = Redis
H2 -> InRedis -> Redis & OutH2,0.00851063829787234,2,48; 56,X = H2; Y = Redis
HyperSQL -> InRedis -> Redis & OutHyperSQL,0.03404255319148936,8,3; 38; 44; 113; 20; 116; 212; 221,X = HyperSQL; Y = Redis
Redis -> InH2 -> H2 & OutRedis,0.00851063829787234,2,3; 39,X = Redis; Y = H2
Redis -> InPostgreSQL -> PostgreSQL & OutRedis,0.00851063829787234,2,65; 5,X = Redis; Y = PostgreSQL
Hazelcast -> InRedis -> Redis & OutHazelcast,0.00851063829787234,2,133; 46,X = Hazelcast; Y = Redis
Hazelcast -> InGoogleCloudDatastore -> GoogleCloudDatastore & OutHazelcast,0.00425531914893617,1,82,X = Hazelcast; Y = GoogleCloudDatastore
GoogleCloudDatastore -> InHazelcast -> Hazelcast & OutGoogleCloudDatastore,0.00425531914893617,1,44,X = GoogleCloudDatastore; Y = Hazelcast
GoogleCloudDatastore -> InRedis -> Redis & OutGoogleCloudDatastore,0.00851063829787234,2,44; 214,X = GoogleCloudDatastore; Y = Redis
MongoDB -> InPostgreSQL -> PostgreSQL & OutMongoDB,0.00851063829787234,2,5; 149,X = MongoDB; Y = PostgreSQL
MongoDB -> InOracle -> Oracle & OutMongoDB,0.00425531914893617,1,5,X = MongoDB; Y = Oracle
Cassandra -> InMySQL -> MySQL & OutCassandra,0.00425531914893617,1,48,X = Cassandra; Y = MySQL
Cassandra -> InRedis -> Redis & OutCassandra,0.00425531914893617,1,48,X = Cassandra; Y = Redis
Cassandra -> InPostgreSQL -> PostgreSQL & OutCassandra,0.01276595744680851,3,48; 60; 5,X = Cassandra; Y = PostgreSQL
Cassandra -> InOracle -> Oracle & OutCassandra,0.00425531914893617,1,48,X = Cassandra; Y = Oracle
MySQL -> InMongoDB -> MongoDB & OutMySQL,0.00425531914893617,1,44,X = MySQL; Y = MongoDB
MySQL -> InCassandra -> Cassandra & OutMySQL,0.00425531914893617,1,58,X = MySQL; Y = Cassandra
HyperSQL -> InMongoDB -> MongoDB & OutHyperSQL,0.01702127659574468,4,113; 212; 44; 135,X = HyperSQL; Y = MongoDB
HyperSQL -> InCassandra -> Cassandra & OutHyperSQL,0.00425531914893617,1,161,X = HyperSQL; Y = Cassandra
Redis -> InMongoDB -> MongoDB & OutRedis,0.00425531914893617,1,140,X = Redis; Y = MongoDB
Redis -> InCassandra -> Cassandra & OutRedis,0.00425531914893617,1,48,X = Redis; Y = Cassandra
PostgreSQL -> InMongoDB -> MongoDB & OutPostgreSQL,0.00425531914893617,1,135,X = PostgreSQL; Y = MongoDB
PostgreSQL -> InCassandra -> Cassandra & OutPostgreSQL,0.00851063829787234,2,161; 60,X = PostgreSQL; Y = Cassandra
