Name,Support,Line Count,Lines,Bindings
MongoDB -> InMS_SQL_Server -> OutMongoDB & MS_SQL_Server,0.004291845493562232,1,69,X = MongoDB; Y = MS_SQL_Server
SQLite -> InMongoDB -> OutSQLite & MongoDB,0.008583690987124463,2,112; 33,X = SQLite; Y = MongoDB
MS_SQL_Server -> InMongoDB -> OutMS_SQL_Server & MongoDB,0.004291845493562232,1,133,X = MS_SQL_Server; Y = MongoDB
HyperSQL -> InHBase -> OutHyperSQL & HBase,0.004291845493562232,1,44,X = HyperSQL; Y = HBase
GoogleCloudDatastore -> InHBase -> OutGoogleCloudDatastore & HBase,0.004291845493562232,1,44,X = GoogleCloudDatastore; Y = HBase
GoogleCloudDatastore -> InJoin_Ignite_NoSql -> OutGoogleCloudDatastore & Join_Ignite_NoSql,0.008583690987124463,2,59; 44,X = GoogleCloudDatastore; Y = Join_Ignite_NoSql
SQLite -> InGoogleCloudDatastore -> OutSQLite & GoogleCloudDatastore,0.004291845493562232,1,39,X = SQLite; Y = GoogleCloudDatastore
SQLite -> InSAPSQLAnywhere -> OutSQLite & SAPSQLAnywhere,0.004291845493562232,1,39,X = SQLite; Y = SAPSQLAnywhere
HBase -> InHyperSQL -> OutHBase & HyperSQL,0.017167381974248927,4,48; 44; 68; 39,X = HBase; Y = HyperSQL
HBase -> InRedis -> OutHBase & Redis,0.012875536480686695,3,151; 44; 68,X = HBase; Y = Redis
HBase -> InSAPSQLAnywhere -> OutHBase & SAPSQLAnywhere,0.004291845493562232,1,39,X = HBase; Y = SAPSQLAnywhere
HBase -> InJoin_Ignite_NoSql -> OutHBase & Join_Ignite_NoSql,0.004291845493562232,1,44,X = HBase; Y = Join_Ignite_NoSql
HBase -> InPostgreSQL -> OutHBase & PostgreSQL,0.008583690987124463,2,44; 68,X = HBase; Y = PostgreSQL
HBase -> InOracle -> OutHBase & Oracle,0.004291845493562232,1,68,X = HBase; Y = Oracle
HBase -> InMS_SQL_Server -> OutHBase & MS_SQL_Server,0.012875536480686695,3,151; 44; 68,X = HBase; Y = MS_SQL_Server
Join_Ignite_NoSql -> InHBase -> OutJoin_Ignite_NoSql & HBase,0.004291845493562232,1,74,X = Join_Ignite_NoSql; Y = HBase
Join_Ignite_NoSql -> InMySQL -> OutJoin_Ignite_NoSql & MySQL,0.004291845493562232,1,74,X = Join_Ignite_NoSql; Y = MySQL
Join_Ignite_NoSql -> InH2 -> OutJoin_Ignite_NoSql & H2,0.004291845493562232,1,74,X = Join_Ignite_NoSql; Y = H2
Join_Ignite_NoSql -> InPostgreSQL -> OutJoin_Ignite_NoSql & PostgreSQL,0.004291845493562232,1,59,X = Join_Ignite_NoSql; Y = PostgreSQL
PostgreSQL -> InHBase -> OutPostgreSQL & HBase,0.004291845493562232,1,59,X = PostgreSQL; Y = HBase
Oracle -> InHBase -> OutOracle & HBase,0.004291845493562232,1,59,X = Oracle; Y = HBase
MS_SQL_Server -> InHBase -> OutMS_SQL_Server & HBase,0.004291845493562232,1,151,X = MS_SQL_Server; Y = HBase
DynamoDB -> InMS_SQL_Server -> OutDynamoDB & MS_SQL_Server,0.004291845493562232,1,69,X = DynamoDB; Y = MS_SQL_Server
Hazelcast -> InMongoDB -> OutHazelcast & MongoDB,0.004291845493562232,1,45,X = Hazelcast; Y = MongoDB
