Name,Support,Line Count,Lines,Bindings,Source
SAPAdaptiveServer -> InHBase -> OutSAPAdaptiveServer & HBase,0.008583690987124463,2,59; 151,X = SAPAdaptiveServer; Y = HBase,X -> InY -> OutX & Y -v X -v Y
SAPAdaptiveServer -> InH2 -> OutSAPAdaptiveServer & H2,0.004291845493562232,1,151,X = SAPAdaptiveServer; Y = H2,X -> InY -> OutX & Y -v X -v Y
Firebird -> InNeo4j -> OutFirebird & Neo4j,0.004291845493562232,1,159,X = Firebird; Y = Neo4j,X -> InY -> OutX & Y -v X -v Y
IBM_DB2 -> InNeo4j -> OutIBM_DB2 & Neo4j,0.004291845493562232,1,159,X = IBM_DB2; Y = Neo4j,X -> InY -> OutX & Y -v X -v Y
Ingres -> InMongoDB -> OutIngres & MongoDB,0.004291845493562232,1,113,X = Ingres; Y = MongoDB,X -> InY -> OutX & Y -v X -v Y
Neo4j -> InIBM_DB2 -> OutNeo4j & IBM_DB2,0.004291845493562232,1,188,X = Neo4j; Y = IBM_DB2,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InSnowflake -> OutCouchbase & Snowflake,0.004291845493562232,1,59,X = Couchbase; Y = Snowflake,X -> InY -> OutX & Y -v X -v Y
Join_Ignite_NoSql -> InSnowflake -> OutJoin_Ignite_NoSql & Snowflake,0.004291845493562232,1,59,X = Join_Ignite_NoSql; Y = Snowflake,X -> InY -> OutX & Y -v X -v Y
SAPAdaptiveServer -> InCouchbase -> OutSAPAdaptiveServer & Couchbase,0.004291845493562232,1,59,X = SAPAdaptiveServer; Y = Couchbase,X -> InY -> OutX & Y -v X -v Y
SAPAdaptiveServer -> InCassandra -> OutSAPAdaptiveServer & Cassandra,0.004291845493562232,1,59,X = SAPAdaptiveServer; Y = Cassandra,X -> InY -> OutX & Y -v X -v Y
SAPAdaptiveServer -> InDynamoDB -> OutSAPAdaptiveServer & DynamoDB,0.004291845493562232,1,59,X = SAPAdaptiveServer; Y = DynamoDB,X -> InY -> OutX & Y -v X -v Y
Firebird -> InCassandra -> OutFirebird & Cassandra,0.004291845493562232,1,159,X = Firebird; Y = Cassandra,X -> InY -> OutX & Y -v X -v Y
Firebird -> InEtcd -> OutFirebird & Etcd,0.004291845493562232,1,62,X = Firebird; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
IBM_DB2 -> InEtcd -> OutIBM_DB2 & Etcd,0.004291845493562232,1,62,X = IBM_DB2; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
HyperSQL -> InClickHouse -> OutHyperSQL & ClickHouse,0.004291845493562232,1,112,X = HyperSQL; Y = ClickHouse,X -> InY -> OutX & Y -v X -v Y
SAPAdaptiveServer -> InEtcd -> OutSAPAdaptiveServer & Etcd,0.004291845493562232,1,62,X = SAPAdaptiveServer; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
Informix -> InCassandra -> OutInformix & Cassandra,0.004291845493562232,1,159,X = Informix; Y = Cassandra,X -> InY -> OutX & Y -v X -v Y
Informix -> InEtcd -> OutInformix & Etcd,0.004291845493562232,1,62,X = Informix; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
SapHana -> InSQLite -> OutSapHana & SQLite,0.004291845493562232,1,154,X = SapHana; Y = SQLite,X -> InY -> OutX & Y -v X -v Y
SapHana -> InEtcd -> OutSapHana & Etcd,0.004291845493562232,1,62,X = SapHana; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
SapHana -> InInformix -> OutSapHana & Informix,0.004291845493562232,1,154,X = SapHana; Y = Informix,X -> InY -> OutX & Y -v X -v Y
Snowflake -> InEtcd -> OutSnowflake & Etcd,0.004291845493562232,1,62,X = Snowflake; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
Informix -> InNeo4j -> OutInformix & Neo4j,0.004291845493562232,1,159,X = Informix; Y = Neo4j,X -> InY -> OutX & Y -v X -v Y
MS_Access -> InRedis -> OutMS_Access & Redis,0.004291845493562232,1,138,X = MS_Access; Y = Redis,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InFirebaseRealtime -> OutCouchbase & FirebaseRealtime,0.004291845493562232,1,76,X = Couchbase; Y = FirebaseRealtime,X -> InY -> OutX & Y -v X -v Y
FirebaseRealtime -> InCassandra -> OutFirebaseRealtime & Cassandra,0.004291845493562232,1,83,X = FirebaseRealtime; Y = Cassandra,X -> InY -> OutX & Y -v X -v Y
FirebaseRealtime -> InOracle -> OutFirebaseRealtime & Oracle,0.004291845493562232,1,83,X = FirebaseRealtime; Y = Oracle,X -> InY -> OutX & Y -v X -v Y
CouchDB -> InMicrosoftAzureCosmosDB -> OutCouchDB & MicrosoftAzureCosmosDB,0.004291845493562232,1,76,X = CouchDB; Y = MicrosoftAzureCosmosDB,X -> InY -> OutX & Y -v X -v Y
CouchDB -> InFirebaseRealtime -> OutCouchDB & FirebaseRealtime,0.004291845493562232,1,76,X = CouchDB; Y = FirebaseRealtime,X -> InY -> OutX & Y -v X -v Y
CouchDB -> InInflux_DB -> OutCouchDB & Influx_DB,0.004291845493562232,1,76,X = CouchDB; Y = Influx_DB,X -> InY -> OutX & Y -v X -v Y
Teradata -> InMongoDB -> OutTeradata & MongoDB,0.004291845493562232,1,112,X = Teradata; Y = MongoDB,X -> InY -> OutX & Y -v X -v Y
SQLite -> InPostGIS -> OutSQLite & PostGIS,0.004291845493562232,1,112,X = SQLite; Y = PostGIS,X -> InY -> OutX & Y -v X -v Y
MS_Access -> InMongoDB -> OutMS_Access & MongoDB,0.004291845493562232,1,138,X = MS_Access; Y = MongoDB,X -> InY -> OutX & Y -v X -v Y
SAPAdaptiveServer -> InIngres -> OutSAPAdaptiveServer & Ingres,0.004291845493562232,1,151,X = SAPAdaptiveServer; Y = Ingres,X -> InY -> OutX & Y -v X -v Y
Teradata -> InPostGIS -> OutTeradata & PostGIS,0.004291845493562232,1,112,X = Teradata; Y = PostGIS,X -> InY -> OutX & Y -v X -v Y
Teradata -> InClickHouse -> OutTeradata & ClickHouse,0.004291845493562232,1,112,X = Teradata; Y = ClickHouse,X -> InY -> OutX & Y -v X -v Y
Ingres -> InPostGIS -> OutIngres & PostGIS,0.004291845493562232,1,151,X = Ingres; Y = PostGIS,X -> InY -> OutX & Y -v X -v Y
Ingres -> InSAPAdaptiveServer -> OutIngres & SAPAdaptiveServer,0.004291845493562232,1,151,X = Ingres; Y = SAPAdaptiveServer,X -> InY -> OutX & Y -v X -v Y
Ingres -> InTeradata -> OutIngres & Teradata,0.004291845493562232,1,113,X = Ingres; Y = Teradata,X -> InY -> OutX & Y -v X -v Y
Ingres -> InSapHana -> OutIngres & SapHana,0.004291845493562232,1,113,X = Ingres; Y = SapHana,X -> InY -> OutX & Y -v X -v Y
SapHana -> InIngres -> OutSapHana & Ingres,0.004291845493562232,1,154,X = SapHana; Y = Ingres,X -> InY -> OutX & Y -v X -v Y
Teradata -> InHazelcast -> OutTeradata & Hazelcast,0.004291845493562232,1,112,X = Teradata; Y = Hazelcast,X -> InY -> OutX & Y -v X -v Y
Realm -> InMongoDB -> OutRealm & MongoDB,0.004291845493562232,1,147,X = Realm; Y = MongoDB,X -> InY -> OutX & Y -v X -v Y
Realm -> InMySQL -> OutRealm & MySQL,0.004291845493562232,1,147,X = Realm; Y = MySQL,X -> InY -> OutX & Y -v X -v Y
Realm -> InMarkLogic -> OutRealm & MarkLogic,0.004291845493562232,1,147,X = Realm; Y = MarkLogic,X -> InY -> OutX & Y -v X -v Y
Ingres -> InHBase -> OutIngres & HBase,0.004291845493562232,1,151,X = Ingres; Y = HBase,X -> InY -> OutX & Y -v X -v Y
Teradata -> InCassandra -> OutTeradata & Cassandra,0.004291845493562232,1,159,X = Teradata; Y = Cassandra,X -> InY -> OutX & Y -v X -v Y
Teradata -> InNeo4j -> OutTeradata & Neo4j,0.004291845493562232,1,159,X = Teradata; Y = Neo4j,X -> InY -> OutX & Y -v X -v Y
