project_id,project,db,interval_start,interval_end,days,period,active_segments,active_files,active_versions,cves
9,iotdb,H2,2021-11-29 11:00:04+00:00,2021-12-16 14:29:57+00:00,17.145752314814814,post_resolution,1,19,1,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
9,iotdb,H2,2021-12-16 14:29:57+00:00,2022-01-04 20:53:00+00:00,19.266006944444445,post_resolution,1,19,1,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
9,iotdb,H2,2022-01-04 20:53:00+00:00,2022-01-06 23:55:09+00:00,2.1264930555555557,post_resolution,1,19,1,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
9,iotdb,H2,2022-01-06 23:55:09+00:00,2022-01-17 16:18:52+00:00,10.683136574074075,post_resolution,1,19,1,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
9,iotdb,H2,2022-01-17 16:18:52+00:00,2022-01-21 23:07:39+00:00,4.283877314814815,post_resolution,1,19,1,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
9,iotdb,H2,2022-01-21 23:07:39+00:00,2022-11-23 21:30:31+00:00,305.9325462962963,post_resolution,1,19,1,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
9,iotdb,H2,2022-11-23 21:30:31+00:00,2023-07-04 00:00:00+00:00,222.10380787037036,post_resolution,1,19,1,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
9,iotdb,H2,2023-07-04 00:00:00+00:00,2023-07-05 14:57:30+00:00,1.6232638888888888,post_resolution,2,27,2,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
9,iotdb,H2,2023-07-05 14:57:30+00:00,2023-07-25 00:00:00+00:00,19.37673611111111,post_resolution,2,27,2,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868; CVE-2022-45868
9,iotdb,H2,2023-07-25 00:00:00+00:00,2023-10-17 00:00:00+00:00,84.0,post_resolution,1,19,1,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
