project_id,project,db,usage_segment_id,files,n_files,version,interval_start,interval_end,days,period,cves,stop_reason
17,commafeed,PostgreSQL,385,commafeed,1,9.3-1102-jdbc41,2014-09-26 00:00:00+00:00,2015-02-11 00:00:00+00:00,138.0,pre_disclosure,CVE-2018-10936; CVE-2020-13692,version_changed
17,commafeed,PostgreSQL,386,commafeed,1,9.4-1200-jdbc41,2015-02-11 00:00:00+00:00,2015-03-01 00:00:00+00:00,18.0,pre_disclosure,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946,version_changed
17,commafeed,PostgreSQL,387,commafeed,1,9.4-1201-jdbc41,2015-02-26 00:00:00+00:00,2016-01-08 00:00:00+00:00,316.0,pre_disclosure,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946,version_changed
17,commafeed,PostgreSQL,388,commafeed,1,9.4-1205-jdbc42,2015-11-25 00:00:00+00:00,2016-11-17 00:00:00+00:00,358.0,pre_disclosure,CVE-2018-10936; CVE-2020-13692; CVE-2022-41946,version_changed
17,commafeed,PostgreSQL,389,commafeed,1,9.4-1212,2016-11-17 00:00:00+00:00,2017-07-11 00:00:00+00:00,236.0,pre_disclosure,CVE-2022-31197; CVE-2024-1597,version_changed
17,commafeed,PostgreSQL,390,commafeed,1,9.4.1212,2016-11-17 00:00:00+00:00,2018-08-27 15:43:21+00:00,648.6551041666667,pre_disclosure,CVE-2018-10936; CVE-2022-41946,version_changed
17,commafeed,PostgreSQL,390,commafeed,1,9.4.1212,2018-08-27 15:43:21+00:00,2018-08-30 13:29:00.377000+00:00,2.906705752314815,post_resolution,CVE-2018-10936; CVE-2022-41946,version_changed
17,commafeed,PostgreSQL,390,commafeed,1,9.4.1212,2018-08-30 13:29:00.377000+00:00,2022-01-01 00:00:00+00:00,1219.4381900810185,post_resolution,CVE-2018-10936; CVE-2022-41946,version_changed
17,commafeed,PostgreSQL,391,commafeed,1,42.3.1,2021-12-23 00:00:00+00:00,2022-02-01 14:51:15+00:00,40.618923611111114,pre_disclosure,CVE-2022-21724; CVE-2022-26520; CVE-2022-31197; CVE-2022-41946; CVE-2026-42198; GHSA-673j-qm5f-xpv8,version_changed
17,commafeed,PostgreSQL,391,commafeed,1,42.3.1,2022-02-01 14:51:15+00:00,2022-02-02 00:00:00+00:00,0.3810763888888889,post_resolution,CVE-2022-21724; CVE-2022-26520; CVE-2022-31197; CVE-2022-41946; CVE-2026-42198; GHSA-673j-qm5f-xpv8,version_changed
17,commafeed,PostgreSQL,392,commafeed,1,42.3.2,2022-02-02 00:00:00+00:00,2022-02-15 19:06:43+00:00,13.796331018518519,pre_disclosure,CVE-2022-26520; CVE-2022-31197; CVE-2022-41946; CVE-2026-42198; GHSA-673j-qm5f-xpv8,version_changed
17,commafeed,PostgreSQL,392,commafeed,1,42.3.2,2022-02-15 19:06:43+00:00,2022-02-16 00:08:18+00:00,0.20943287037037037,post_resolution,CVE-2022-26520; CVE-2022-31197; CVE-2022-41946; CVE-2026-42198; GHSA-673j-qm5f-xpv8,version_changed
17,commafeed,PostgreSQL,392,commafeed,1,42.3.2,2022-02-16 00:08:18+00:00,2022-03-10 17:47:45.810000+00:00,22.735738541666667,post_resolution,CVE-2022-26520; CVE-2022-31197; CVE-2022-41946; CVE-2026-42198; GHSA-673j-qm5f-xpv8,version_changed
