owner,name,repo_path,has_root_pom,root_packaging,root_modules_declared_count,classification,total_poms,deployables_count,excluded_count
eclipse-vertx,vert.x,/home/camila/repos/eclipse-vertx/vert.x,True,pom,2,MULTI_MODULE,3,2,0
ehcache,ehcache3,/home/camila/repos/ehcache/ehcache3,False,,0,NO_ROOT_POM,0,0,0
elastic,elasticsearch-hadoop,/home/camila/repos/elastic/elasticsearch-hadoop,False,,0,NO_ROOT_POM,0,0,0
elastic,elasticsearch,/home/camila/repos/elastic/elasticsearch,False,,0,NO_ROOT_POM,0,0,0
embulk,embulk,/home/camila/repos/embulk/embulk,False,,0,NO_ROOT_POM,0,0,0
EngineHub,WorldEdit,/home/camila/repos/EngineHub/WorldEdit,False,,0,NO_ROOT_POM,0,0,0
ervandew,eclim,/home/camila/repos/ervandew/eclim,False,,0,NO_ROOT_POM,0,0,0
Etar-Group,Etar-Calendar,/home/camila/repos/Etar-Group/Etar-Calendar,False,,0,NO_ROOT_POM,0,0,0
fabric8io,docker-maven-plugin,/home/camila/repos/fabric8io/docker-maven-plugin,True,maven-plugin,0,SINGLE_MODULE,61,43,24
fabric8io,kubernetes-client,/home/camila/repos/fabric8io/kubernetes-client,True,pom,23,MULTI_MODULE,182,159,9
facebook,fresco,/home/camila/repos/facebook/fresco,False,,0,NO_ROOT_POM,1,1,0
facebook,litho,/home/camila/repos/facebook/litho,False,,0,NO_ROOT_POM,0,0,0
FasterXML,jackson-core,/home/camila/repos/FasterXML/jackson-core,True,jar,0,SINGLE_MODULE,1,1,0
FasterXML,jackson-databind,/home/camila/repos/FasterXML/jackson-databind,True,jar,0,SINGLE_MODULE,1,1,0
federicoiosue,Omni-Notes,/home/camila/repos/federicoiosue/Omni-Notes,False,,0,NO_ROOT_POM,0,0,0
firebase,firebase-android-sdk,/home/camila/repos/firebase/firebase-android-sdk,False,,0,NO_ROOT_POM,0,0,0
flowable,flowable-engine,/home/camila/repos/flowable/flowable-engine,True,pom,53,MULTI_MODULE,135,129,6
flutter,flutter-intellij,/home/camila/repos/flutter/flutter-intellij,False,,0,NO_ROOT_POM,0,0,0
flyingsaucerproject,flyingsaucer,/home/camila/repos/flyingsaucerproject/flyingsaucer,True,pom,8,MULTI_MODULE,9,8,0
flyway,flyway,/home/camila/repos/flyway/flyway,True,pom,7,MULTI_MODULE,32,28,0
fossasia,pslab-android,/home/camila/repos/fossasia/pslab-android,False,,0,NO_ROOT_POM,0,0,0
geoserver,geoserver,/home/camila/repos/geoserver/geoserver,False,,0,NO_ROOT_POM,284,243,1
geotools,geotools,/home/camila/repos/geotools/geotools,True,pom,2,MULTI_MODULE,177,161,11
gephi,gephi,/home/camila/repos/gephi/gephi,True,pom,65,MULTI_MODULE,66,0,0
GeyserMC,Geyser,/home/camila/repos/GeyserMC/Geyser,False,,0,NO_ROOT_POM,0,0,0
gocd,gocd,/home/camila/repos/gocd/gocd,False,,0,NO_ROOT_POM,0,0,0
google,auto,/home/camila/repos/google/auto,False,,0,NO_ROOT_POM,11,9,0
google,truth,/home/camila/repos/google/truth,True,pom,2,MULTI_MODULE,7,5,0
google,gson,/home/camila/repos/google/gson,True,pom,7,MULTI_MODULE,8,7,0
google,guice,/home/camila/repos/google/guice,True,pom,3,MULTI_MODULE,16,13,1
google,copybara,/home/camila/repos/google/copybara,False,,0,NO_ROOT_POM,0,0,0
google,nomulus,/home/camila/repos/google/nomulus,False,,0,NO_ROOT_POM,0,0,0
google,error-prone,/home/camila/repos/google/error-prone,True,pom,9,MULTI_MODULE,10,9,0
google,j2objc,/home/camila/repos/google/j2objc,False,,0,NO_ROOT_POM,2,1,0
google,guava,/home/camila/repos/google/guava,True,pom,5,MULTI_MODULE,14,10,0
google,closure-compiler,/home/camila/repos/google/closure-compiler,False,,0,NO_ROOT_POM,0,0,0
googleapis,google-http-java-client,/home/camila/repos/googleapis/google-http-java-client,True,pom,14,MULTI_MODULE,21,16,5
googleapis,google-api-java-client,/home/camila/repos/googleapis/google-api-java-client,True,pom,11,MULTI_MODULE,16,12,4
googleapis,google-cloud-java,/home/camila/repos/googleapis/google-cloud-java,True,pom,204,MULTI_MODULE,1201,798,0
GoogleContainerTools,jib,/home/camila/repos/GoogleContainerTools/jib,False,,0,NO_ROOT_POM,21,18,8
graphhopper,jsprit,/home/camila/repos/graphhopper/jsprit,True,pom,2,MULTI_MODULE,3,2,0
graphhopper,graphhopper,/home/camila/repos/graphhopper/graphhopper,True,pom,10,MULTI_MODULE,11,10,2
graphql-java,graphql-java,/home/camila/repos/graphql-java/graphql-java,False,,0,NO_ROOT_POM,0,0,0
Graylog2,graylog2-server,/home/camila/repos/Graylog2/graylog2-server,True,pom,6,MULTI_MODULE,12,7,0
grpc,grpc-java,/home/camila/repos/grpc/grpc-java,False,,0,NO_ROOT_POM,8,8,8
gsantner,markor,/home/camila/repos/gsantner/markor,False,,0,NO_ROOT_POM,0,0,0
haifengl,smile,/home/camila/repos/haifengl/smile,False,,0,NO_ROOT_POM,0,0,0
hapifhir,hapi-fhir,/home/camila/repos/hapifhir/hapi-fhir,True,pom,64,MULTI_MODULE,80,69,0
haraldk,TwelveMonkeys,/home/camila/repos/haraldk/TwelveMonkeys,True,pom,5,MULTI_MODULE,34,30,0
hawtio,hawtio,/home/camila/repos/hawtio/hawtio,True,pom,18,MULTI_MODULE,33,27,10
hcoles,pitest,/home/camila/repos/hcoles/pitest,True,pom,8,MULTI_MODULE,44,39,1
hneemann,Digital,/home/camila/repos/hneemann/Digital,True,jar,0,SINGLE_MODULE,1,1,0
i2p,i2p.i2p,/home/camila/repos/i2p/i2p.i2p,False,,0,NO_ROOT_POM,0,0,0
iBotPeaches,Apktool,/home/camila/repos/iBotPeaches/Apktool,False,,0,NO_ROOT_POM,0,0,0
igniterealtime,Smack,/home/camila/repos/igniterealtime/Smack,False,,0,NO_ROOT_POM,0,0,0
igniterealtime,Openfire,/home/camila/repos/igniterealtime/Openfire,True,pom,5,MULTI_MODULE,8,5,0
iluwatar,java-design-patterns,/home/camila/repos/iluwatar/java-design-patterns,True,pom,159,MULTI_MODULE,171,166,0
immutables,immutables,/home/camila/repos/immutables/immutables,True,pom,24,MULTI_MODULE,33,30,0
INRIA,spoon,/home/camila/repos/INRIA/spoon,True,jar,0,SINGLE_MODULE,35,31,0
internetarchive,heritrix3,/home/camila/repos/internetarchive/heritrix3,True,pom,5,MULTI_MODULE,5,4,0
iterate-ch,cyberduck,/home/camila/repos/iterate-ch/cyberduck,True,pom,55,MULTI_MODULE,58,43,0
itext,itextpdf,/home/camila/repos/itext/itextpdf,True,pom,4,MULTI_MODULE,5,4,0
JabRef,jabref,/home/camila/repos/JabRef/jabref,False,,0,NO_ROOT_POM,0,0,0
jacoco,jacoco,/home/camila/repos/jacoco/jacoco,True,pom,1,MULTI_MODULE,71,59,0
jankotek,mapdb,/home/camila/repos/jankotek/mapdb,True,bundle,0,SINGLE_MODULE,1,1,0
JanusGraph,janusgraph,/home/camila/repos/JanusGraph/janusgraph,True,pom,24,MULTI_MODULE,31,24,0
java-json-tools,json-schema-validator,/home/camila/repos/java-json-tools/json-schema-validator,False,,0,NO_ROOT_POM,0,0,0
java-native-access,jna,/home/camila/repos/java-native-access/jna,False,,0,NO_ROOT_POM,0,0,0
javamelody,javamelody,/home/camila/repos/javamelody/javamelody,True,pom,9,MULTI_MODULE,11,10,0
javaparser,javaparser,/home/camila/repos/javaparser/javaparser,True,pom,8,MULTI_MODULE,9,8,0
jdbi,jdbi,/home/camila/repos/jdbi/jdbi,True,pom,32,MULTI_MODULE,41,36,2
jenkinsci,gitlab-plugin,/home/camila/repos/jenkinsci/gitlab-plugin,True,hpi,0,SINGLE_MODULE,1,0,0
jenkinsci,kubernetes-plugin,/home/camila/repos/jenkinsci/kubernetes-plugin,True,hpi,0,SINGLE_MODULE,1,0,0
jenkinsci,blueocean-plugin,/home/camila/repos/jenkinsci/blueocean-plugin,True,pom,21,MULTI_MODULE,28,2,0
jenkinsci,jenkins,/home/camila/repos/jenkinsci/jenkins,True,pom,8,MULTI_MODULE,9,6,0
jeremylong,DependencyCheck,/home/camila/repos/jeremylong/DependencyCheck,True,pom,6,MULTI_MODULE,69,51,0
JetBrains,intellij-plugins,/home/camila/repos/JetBrains/intellij-plugins,False,,0,NO_ROOT_POM,9,9,0
jhy,jsoup,/home/camila/repos/jhy/jsoup,True,jar,0,SINGLE_MODULE,1,1,0
jindrapetrik,jpexs-decompiler,/home/camila/repos/jindrapetrik/jpexs-decompiler,False,,0,NO_ROOT_POM,2,2,0
jitsi,jitsi,/home/camila/repos/jitsi/jitsi,True,pom,6,MULTI_MODULE,107,103,0
jMonkeyEngine,jmonkeyengine,/home/camila/repos/jMonkeyEngine/jmonkeyengine,False,,0,NO_ROOT_POM,0,0,0
JodaOrg,joda-time,/home/camila/repos/JodaOrg/joda-time,True,jar,0,SINGLE_MODULE,1,1,0
jooby-project,jooby,/home/camila/repos/jooby-project/jooby,True,pom,3,MULTI_MODULE,64,58,1
journeyapps,zxing-android-embedded,/home/camila/repos/journeyapps/zxing-android-embedded,False,,0,NO_ROOT_POM,0,0,0
JSQLParser,JSqlParser,/home/camila/repos/JSQLParser/JSqlParser,True,bundle,0,SINGLE_MODULE,1,1,0
jtablesaw,tablesaw,/home/camila/repos/jtablesaw/tablesaw,True,pom,10,MULTI_MODULE,11,10,0
junit-team,junit4,/home/camila/repos/junit-team/junit4,True,jar,0,SINGLE_MODULE,1,1,0
junit-team,junit5,/home/camila/repos/junit-team/junit5,False,,0,NO_ROOT_POM,6,6,0
kalessil,phpinspectionsea,/home/camila/repos/kalessil/phpinspectionsea,False,,0,NO_ROOT_POM,0,0,0
kermitt2,grobid,/home/camila/repos/kermitt2/grobid,False,,0,NO_ROOT_POM,0,0,0
keycloak,keycloak,/home/camila/repos/keycloak/keycloak,True,pom,22,MULTI_MODULE,126,64,14
kiegroup,jbpm,/home/camila/repos/kiegroup/jbpm,True,pom,21,MULTI_MODULE,83,66,0
killbill,killbill,/home/camila/repos/killbill/killbill,True,pom,16,MULTI_MODULE,19,17,0
knowm,XChart,/home/camila/repos/knowm/XChart,True,pom,2,MULTI_MODULE,3,2,0
knowm,XChange,/home/camila/repos/knowm/XChange,True,pom,119,MULTI_MODULE,120,119,0
Kong,unirest-java,/home/camila/repos/Kong/unirest-java,True,pom,6,MULTI_MODULE,8,6,0
konsoletyper,teavm,/home/camila/repos/konsoletyper/teavm,False,,0,NO_ROOT_POM,1,1,1
kubernetes-client,java,/home/camila/repos/kubernetes-client/java,True,pom,12,MULTI_MODULE,19,17,6
languagetool-org,languagetool,/home/camila/repos/languagetool-org/languagetool,True,pom,45,MULTI_MODULE,49,48,0
LawnchairLauncher,Lawnchair,/home/camila/repos/LawnchairLauncher/Lawnchair,False,,0,NO_ROOT_POM,0,0,0
libgdx,libgdx,/home/camila/repos/libgdx/libgdx,False,,0,NO_ROOT_POM,0,0,0
LibrePDF,OpenPDF,/home/camila/repos/LibrePDF/OpenPDF,True,pom,4,MULTI_MODULE,5,4,0
line,armeria,/home/camila/repos/line/armeria,False,,0,NO_ROOT_POM,1,1,0
linkedin,rest.li,/home/camila/repos/linkedin/rest.li,False,,0,NO_ROOT_POM,0,0,0
linkedin,ambry,/home/camila/repos/linkedin/ambry,False,,0,NO_ROOT_POM,0,0,0
liquibase,liquibase,/home/camila/repos/liquibase/liquibase,True,pom,10,MULTI_MODULE,12,9,0
lukas-krecan,ShedLock,/home/camila/repos/lukas-krecan/ShedLock,True,pom,47,MULTI_MODULE,48,46,0
LWJGL,lwjgl3,/home/camila/repos/LWJGL/lwjgl3,True,jar,0,SINGLE_MODULE,1,1,0
M66B,NetGuard,/home/camila/repos/M66B/NetGuard,False,,0,NO_ROOT_POM,0,0,0
mabe02,lanterna,/home/camila/repos/mabe02/lanterna,True,jar,0,SINGLE_MODULE,2,2,0
magefree,mage,/home/camila/repos/magefree/mage,True,pom,11,MULTI_MODULE,40,36,0
manifold-systems,manifold,/home/camila/repos/manifold-systems/manifold,True,pom,5,MULTI_MODULE,74,71,0
mapstruct,mapstruct,/home/camila/repos/mapstruct/mapstruct,True,pom,5,MULTI_MODULE,56,43,1
material-components,material-components-android,/home/camila/repos/material-components/material-components-android,False,,0,NO_ROOT_POM,0,0,0
mendhak,gpslogger,/home/camila/repos/mendhak/gpslogger,False,,0,NO_ROOT_POM,0,0,0
micrometer-metrics,micrometer,/home/camila/repos/micrometer-metrics/micrometer,False,,0,NO_ROOT_POM,0,0,0
micronaut-projects,micronaut-core,/home/camila/repos/micronaut-projects/micronaut-core,False,,0,NO_ROOT_POM,0,0,0
MinecraftForge,MinecraftForge,/home/camila/repos/MinecraftForge/MinecraftForge,False,,0,NO_ROOT_POM,1,1,0
mitreid-connect,OpenID-Connect-Java-Spring-Server,/home/camila/repos/mitreid-connect/OpenID-Connect-Java-Spring-Server,True,pom,6,MULTI_MODULE,7,6,0
mock-server,mockserver,/home/camila/repos/mock-server/mockserver,True,pom,11,MULTI_MODULE,15,14,0
mockito,mockito,/home/camila/repos/mockito/mockito,False,,0,NO_ROOT_POM,0,0,0
mongodb,mongo-java-driver,/home/camila/repos/mongodb/mongo-java-driver,False,,0,NO_ROOT_POM,0,0,0
moquette-io,moquette,/home/camila/repos/moquette-io/moquette,True,pom,3,MULTI_MODULE,4,2,0
MorphiaOrg,morphia,/home/camila/repos/MorphiaOrg/morphia,True,pom,6,MULTI_MODULE,8,6,1
MovingBlocks,Terasology,/home/camila/repos/MovingBlocks/Terasology,False,,0,NO_ROOT_POM,0,0,0
mplushnikov,lombok-intellij-plugin,/home/camila/repos/mplushnikov/lombok-intellij-plugin,False,,0,NO_ROOT_POM,0,0,0
msgpack,msgpack-java,/home/camila/repos/msgpack/msgpack-java,False,,0,NO_ROOT_POM,0,0,0
NationalSecurityAgency,ghidra,/home/camila/repos/NationalSecurityAgency/ghidra,False,,0,NO_ROOT_POM,0,0,0
naver,ngrinder,/home/camila/repos/naver/ngrinder,False,,0,NO_ROOT_POM,0,0,0
Neamar,KISS,/home/camila/repos/Neamar/KISS,False,,0,NO_ROOT_POM,0,0,0
neo4j-contrib,neo4j-apoc-procedures,/home/camila/repos/neo4j-contrib/neo4j-apoc-procedures,False,,0,NO_ROOT_POM,1,1,1
Netflix,genie,/home/camila/repos/Netflix/genie,False,,0,NO_ROOT_POM,0,0,0
netty,netty,/home/camila/repos/netty/netty,True,pom,51,MULTI_MODULE,53,50,1
networknt,light-4j,/home/camila/repos/networknt/light-4j,True,pom,83,MULTI_MODULE,86,85,0
nextcloud,android,/home/camila/repos/nextcloud/android,False,,0,NO_ROOT_POM,0,0,0
nutzam,nutz,/home/camila/repos/nutzam/nutz,True,jar,0,SINGLE_MODULE,2,2,1
oblac,jodd,/home/camila/repos/oblac/jodd,False,,0,NO_ROOT_POM,0,0,0
open-keychain,open-keychain,/home/camila/repos/open-keychain/open-keychain,False,,0,NO_ROOT_POM,0,0,0
OpenAPITools,openapi-generator,/home/camila/repos/OpenAPITools/openapi-generator,True,pom,0,AGGREGATOR_EMPTY,361,203,346
OpenHFT,Chronicle-Map,/home/camila/repos/OpenHFT/Chronicle-Map,True,bundle,0,SINGLE_MODULE,2,2,0
OpenHFT,Chronicle-Queue,/home/camila/repos/OpenHFT/Chronicle-Queue,True,bundle,0,SINGLE_MODULE,1,1,0
OpenRefine,OpenRefine,/home/camila/repos/OpenRefine/OpenRefine,True,pom,7,MULTI_MODULE,13,10,0
opensourceBIM,BIMserver,/home/camila/repos/opensourceBIM/BIMserver,True,pom,7,MULTI_MODULE,9,8,0
opentripplanner,OpenTripPlanner,/home/camila/repos/opentripplanner/OpenTripPlanner,True,jar,0,SINGLE_MODULE,1,1,0
