owner,name,repo_path,module,status,detail,rel_path,abs_path,depth,nearest_declared_ancestor
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-boot-starter,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-boot-starter/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-boot-starter/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-process-validation,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-process-validation/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-process-validation/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set1,undeclared-parent-mismatch(child=org.activiti:activiti-spring-conformance-tests vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set1/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set1/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set5,undeclared-parent-mismatch(child=org.activiti:activiti-spring-conformance-tests vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set5/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set5/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set4,undeclared-parent-mismatch(child=org.activiti:activiti-spring-conformance-tests vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set4/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set4/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-variables,undeclared-parent-mismatch(child=org.activiti:activiti-spring-conformance-tests vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-variables/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-variables/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set2,undeclared-parent-mismatch(child=org.activiti:activiti-spring-conformance-tests vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set2/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set2/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-util,undeclared-parent-mismatch(child=org.activiti:activiti-spring-conformance-tests vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-util/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-util/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set3,undeclared-parent-mismatch(child=org.activiti:activiti-spring-conformance-tests vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set3/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set3/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-signals,undeclared-parent-mismatch(child=org.activiti:activiti-spring-conformance-tests vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-signals/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-signals/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set0,undeclared-parent-mismatch(child=org.activiti:activiti-spring-conformance-tests vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set0/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set0/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-image-generator,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-image-generator/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-image-generator/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-engine,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-engine/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-engine/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-bpmn-converter,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-bpmn-converter/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-bpmn-converter/pom.xml,1,
