owner,name,repo_path,has_root_pom,listed_modules,listed_modules_parent_ok,listed_modules_parent_bad,unlisted_children_parent_ok,coverage_listed_ok_over_listed
facebook,litho,/home/camila/repos/facebook/litho,False,0,0,0,0,0.000
FasterXML,jackson-core,/home/camila/repos/FasterXML/jackson-core,True,0,0,0,0,0.000
FasterXML,jackson-databind,/home/camila/repos/FasterXML/jackson-databind,True,0,0,0,0,0.000
federicoiosue,Omni-Notes,/home/camila/repos/federicoiosue/Omni-Notes,False,0,0,0,0,0.000
firebase,firebase-android-sdk,/home/camila/repos/firebase/firebase-android-sdk,False,0,0,0,0,0.000
flowable,flowable-engine,/home/camila/repos/flowable/flowable-engine,True,53,0,53,0,0.000
flutter,flutter-intellij,/home/camila/repos/flutter/flutter-intellij,False,0,0,0,0,0.000
flyingsaucerproject,flyingsaucer,/home/camila/repos/flyingsaucerproject/flyingsaucer,True,8,8,0,0,1.000
flyway,flyway,/home/camila/repos/flyway/flyway,True,7,7,0,0,1.000
fossasia,pslab-android,/home/camila/repos/fossasia/pslab-android,False,0,0,0,0,0.000
geoserver,geoserver,/home/camila/repos/geoserver/geoserver,False,0,0,0,0,0.000
geotools,geotools,/home/camila/repos/geotools/geotools,True,2,2,0,1,1.000
gephi,gephi,/home/camila/repos/gephi/gephi,True,65,0,65,0,0.000
GeyserMC,Geyser,/home/camila/repos/GeyserMC/Geyser,False,0,0,0,0,0.000
gocd,gocd,/home/camila/repos/gocd/gocd,False,0,0,0,0,0.000
google,auto,/home/camila/repos/google/auto,False,0,0,0,0,0.000
google,truth,/home/camila/repos/google/truth,True,2,2,0,0,1.000
google,gson,/home/camila/repos/google/gson,True,7,7,0,0,1.000
google,guice,/home/camila/repos/google/guice,True,3,3,0,0,1.000
google,copybara,/home/camila/repos/google/copybara,False,0,0,0,0,0.000
google,nomulus,/home/camila/repos/google/nomulus,False,0,0,0,0,0.000
google,error-prone,/home/camila/repos/google/error-prone,True,9,9,0,0,1.000
google,j2objc,/home/camila/repos/google/j2objc,False,0,0,0,0,0.000
google,guava,/home/camila/repos/google/guava,True,5,4,1,0,0.800
google,closure-compiler,/home/camila/repos/google/closure-compiler,False,0,0,0,0,0.000
googleapis,google-http-java-client,/home/camila/repos/googleapis/google-http-java-client,True,14,12,2,0,0.857
googleapis,google-api-java-client,/home/camila/repos/googleapis/google-api-java-client,True,11,10,1,0,0.909
googleapis,google-cloud-java,/home/camila/repos/googleapis/google-cloud-java,True,204,0,204,0,0.000
GoogleContainerTools,jib,/home/camila/repos/GoogleContainerTools/jib,False,0,0,0,0,0.000
graphhopper,jsprit,/home/camila/repos/graphhopper/jsprit,True,2,2,0,0,1.000
graphhopper,graphhopper,/home/camila/repos/graphhopper/graphhopper,True,10,10,0,0,1.000
graphql-java,graphql-java,/home/camila/repos/graphql-java/graphql-java,False,0,0,0,0,0.000
Graylog2,graylog2-server,/home/camila/repos/Graylog2/graylog2-server,True,6,3,3,0,0.500
grpc,grpc-java,/home/camila/repos/grpc/grpc-java,False,0,0,0,0,0.000
gsantner,markor,/home/camila/repos/gsantner/markor,False,0,0,0,0,0.000
haifengl,smile,/home/camila/repos/haifengl/smile,False,0,0,0,0,0.000
hapifhir,hapi-fhir,/home/camila/repos/hapifhir/hapi-fhir,True,64,9,55,0,0.141
haraldk,TwelveMonkeys,/home/camila/repos/haraldk/TwelveMonkeys,True,5,5,0,0,1.000
hawtio,hawtio,/home/camila/repos/hawtio/hawtio,True,18,8,10,1,0.444
hcoles,pitest,/home/camila/repos/hcoles/pitest,True,8,8,0,4,1.000
hneemann,Digital,/home/camila/repos/hneemann/Digital,True,0,0,0,0,0.000
i2p,i2p.i2p,/home/camila/repos/i2p/i2p.i2p,False,0,0,0,0,0.000
iBotPeaches,Apktool,/home/camila/repos/iBotPeaches/Apktool,False,0,0,0,0,0.000
igniterealtime,Smack,/home/camila/repos/igniterealtime/Smack,False,0,0,0,0,0.000
igniterealtime,Openfire,/home/camila/repos/igniterealtime/Openfire,True,5,4,1,0,0.800
iluwatar,java-design-patterns,/home/camila/repos/iluwatar/java-design-patterns,True,159,159,0,0,1.000
immutables,immutables,/home/camila/repos/immutables/immutables,True,24,24,0,0,1.000
INRIA,spoon,/home/camila/repos/INRIA/spoon,True,0,0,0,0,0.000
internetarchive,heritrix3,/home/camila/repos/internetarchive/heritrix3,True,5,5,0,0,1.000
iterate-ch,cyberduck,/home/camila/repos/iterate-ch/cyberduck,True,55,43,12,0,0.782
itext,itextpdf,/home/camila/repos/itext/itextpdf,True,4,0,4,0,0.000
JabRef,jabref,/home/camila/repos/JabRef/jabref,False,0,0,0,0,0.000
jacoco,jacoco,/home/camila/repos/jacoco/jacoco,True,1,0,1,0,0.000
jankotek,mapdb,/home/camila/repos/jankotek/mapdb,True,0,0,0,0,0.000
JanusGraph,janusgraph,/home/camila/repos/JanusGraph/janusgraph,True,24,24,0,0,1.000
