owner,name,repo_path,has_root_pom,listed_modules,listed_modules_parent_ok,listed_modules_parent_bad,unlisted_children_parent_ok,coverage_listed_ok_over_listed
PhilJay,MPAndroidChart,/home/camila/repos/PhilJay/MPAndroidChart,False,0,0,0,0,0.000
pinterest,secor,/home/camila/repos/pinterest/secor,True,0,0,0,0,0.000
plutext,docx4j,/home/camila/repos/plutext/docx4j,True,25,25,0,2,1.000
pmd,pmd,/home/camila/repos/pmd/pmd,True,39,36,3,2,0.923
pravega,pravega,/home/camila/repos/pravega/pravega,False,0,0,0,0,0.000
prestodb,presto,/home/camila/repos/prestodb/presto,True,101,101,0,1,1.000
primefaces,primefaces,/home/camila/repos/primefaces/primefaces,True,7,7,0,0,1.000
processing,processing,/home/camila/repos/processing/processing,False,0,0,0,0,0.000
psi-probe,psi-probe,/home/camila/repos/psi-probe/psi-probe,True,4,4,0,0,1.000
pytorch,serve,/home/camila/repos/pytorch/serve,False,0,0,0,0,0.000
qos-ch,slf4j,/home/camila/repos/qos-ch/slf4j,True,15,1,14,0,0.067
qos-ch,logback,/home/camila/repos/qos-ch/logback,True,6,6,0,0,1.000
QuantumBadger,RedReader,/home/camila/repos/QuantumBadger/RedReader,False,0,0,0,0,0.000
quarkusio,quarkus,/home/camila/repos/quarkusio/quarkus,True,22,1,21,0,0.045
querydsl,querydsl,/home/camila/repos/querydsl/querydsl,True,0,0,0,26,0.000
questdb,questdb,/home/camila/repos/questdb/questdb,True,5,0,5,0,0.000
raphw,byte-buddy,/home/camila/repos/raphw/byte-buddy,True,8,8,0,0,1.000
ratpack,ratpack,/home/camila/repos/ratpack/ratpack,False,0,0,0,0,0.000
ReactiveX,RxJava,/home/camila/repos/ReactiveX/RxJava,False,0,0,0,0,0.000
reactor,reactor-core,/home/camila/repos/reactor/reactor-core,False,0,0,0,0,0.000
reactor,reactor-netty,/home/camila/repos/reactor/reactor-netty,False,0,0,0,0,0.000
real-logic,agrona,/home/camila/repos/real-logic/agrona,False,0,0,0,0,0.000
real-logic,simple-binary-encoding,/home/camila/repos/real-logic/simple-binary-encoding,False,0,0,0,0,0.000
real-logic,aeron,/home/camila/repos/real-logic/aeron,False,0,0,0,0,0.000
redisson,redisson,/home/camila/repos/redisson/redisson,True,10,10,0,0,1.000
remkop,picocli,/home/camila/repos/remkop/picocli,True,0,0,0,0,0.000
rest-assured,rest-assured,/home/camila/repos/rest-assured/rest-assured,True,7,7,0,0,1.000
RipMeApp,ripme,/home/camila/repos/RipMeApp/ripme,True,0,0,0,0,0.000
RoaringBitmap,RoaringBitmap,/home/camila/repos/RoaringBitmap/RoaringBitmap,False,0,0,0,0,0.000
robolectric,robolectric,/home/camila/repos/robolectric/robolectric,False,0,0,0,0,0.000
rstudio,rstudio,/home/camila/repos/rstudio/rstudio,False,0,0,0,0,0.000
runelite,runelite,/home/camila/repos/runelite/runelite,True,5,5,0,0,1.000
scribejava,scribejava,/home/camila/repos/scribejava/scribejava,True,8,8,0,0,1.000
selenide,selenide,/home/camila/repos/selenide/selenide,False,0,0,0,0,0.000
SeleniumHQ,selenium,/home/camila/repos/SeleniumHQ/selenium,False,0,0,0,0,0.000
siddhi-io,siddhi,/home/camila/repos/siddhi-io/siddhi,True,6,1,5,0,0.167
signalapp,Signal-Android,/home/camila/repos/signalapp/Signal-Android,False,0,0,0,0,0.000
simpligility,android-maven-plugin,/home/camila/repos/simpligility/android-maven-plugin,True,0,0,0,0,0.000
