owner,name,repo_path,module_dir,pom_path_rel,pom_path_abs,groupId,artifactId,version,packaging,spring_boot_plugin,is_deployable,deployable_reason,is_excluded
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-boot-starter,activiti-core/activiti-spring-boot-starter/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-boot-starter/pom.xml,org.activiti,activiti-spring-boot-starter,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-process-validation,activiti-core/activiti-process-validation/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-process-validation/pom.xml,org.activiti,activiti-process-validation,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests,activiti-core/activiti-spring-conformance-tests/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/pom.xml,org.activiti,activiti-spring-conformance-tests,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set1,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set1/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set1/pom.xml,org.activiti,activiti-spring-conformance-set1,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set5,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set5/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set5/pom.xml,org.activiti,activiti-spring-conformance-set5,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set4,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set4/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set4/pom.xml,org.activiti,activiti-spring-conformance-set4,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-variables,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-variables/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-variables/pom.xml,org.activiti,activiti-spring-conformance-variables,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set2,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set2/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set2/pom.xml,org.activiti,activiti-spring-conformance-set2,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-util,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-util/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-util/pom.xml,org.activiti,activiti-spring-conformance-util,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set3,activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set3/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring-conformance-tests/activiti-spring-conformance-set3/pom.xml,org.activiti,activiti-spring-conformance-set3,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
