owner,name,repo_path,classe,gradle_multi,node_workspaces,erro_no_caminho,total_poms,total_pom_commits
cryptomator,cryptomator,/home/camila/repos/cryptomator/cryptomator,SINGLE_REPO,False,False,False,1,306
cSploit,android,/home/camila/repos/cSploit/android,MULTIPROJETOS,True,False,False,0,0
cuba-platform,cuba,/home/camila/repos/cuba-platform/cuba,SINGLE_REPO,True,False,False,0,0
cucumber,cucumber-jvm,/home/camila/repos/cucumber/cucumber-jvm,MULTIPROJETOS,False,False,False,37,1513
danfickle,openhtmltopdf,/home/camila/repos/danfickle/openhtmltopdf,MULTIPROJETOS,False,False,False,13,207
dbeaver,dbeaver,/home/camila/repos/dbeaver/dbeaver,MULTIPROJETOS,False,False,False,185,1396
debezium,debezium,/home/camila/repos/debezium/debezium,MULTIPROJETOS,False,False,False,51,2197
diffplug,spotless,/home/camila/repos/diffplug/spotless,MULTIPROJETOS,True,False,False,0,0
docker-java,docker-java,/home/camila/repos/docker-java/docker-java,MULTIPROJETOS,False,False,False,12,386
dreamhead,moco,/home/camila/repos/dreamhead/moco,MULTIPROJETOS,True,False,False,0,0
drewnoakes,metadata-extractor,/home/camila/repos/drewnoakes/metadata-extractor,SINGLE_REPO,False,False,False,1,76
dropwizard,metrics,/home/camila/repos/dropwizard/metrics,MULTIPROJETOS,False,False,False,39,2438
dropwizard,dropwizard,/home/camila/repos/dropwizard/dropwizard,MULTIPROJETOS,False,False,False,42,5269
ebean-orm,ebean,/home/camila/repos/ebean-orm/ebean,MULTIPROJETOS,False,False,False,50,1839
eclipse,eclipse-collections,/home/camila/repos/eclipse/eclipse-collections,MULTIPROJETOS,False,False,False,23,290
eclipse-vertx,vert.x,/home/camila/repos/eclipse-vertx/vert.x,MULTIPROJETOS,False,False,False,3,578
ehcache,ehcache3,/home/camila/repos/ehcache/ehcache3,MULTIPROJETOS,True,False,False,0,0
elastic,elasticsearch-hadoop,/home/camila/repos/elastic/elasticsearch-hadoop,MULTIPROJETOS,True,False,False,0,0
elastic,elasticsearch,/home/camila/repos/elastic/elasticsearch,MULTIPROJETOS,False,False,False,0,0
embulk,embulk,/home/camila/repos/embulk/embulk,MULTIPROJETOS,True,False,False,0,0
EngineHub,WorldEdit,/home/camila/repos/EngineHub/WorldEdit,MULTIPROJETOS,True,False,False,0,0
ervandew,eclim,/home/camila/repos/ervandew/eclim,DESCONHECIDO,False,False,False,0,0
Etar-Group,Etar-Calendar,/home/camila/repos/Etar-Group/Etar-Calendar,MULTIPROJETOS,True,False,False,0,0
fabric8io,docker-maven-plugin,/home/camila/repos/fabric8io/docker-maven-plugin,MULTIPROJETOS,False,False,False,61,830
fabric8io,kubernetes-client,/home/camila/repos/fabric8io/kubernetes-client,MULTIPROJETOS,False,False,False,182,2413
facebook,fresco,/home/camila/repos/facebook/fresco,MULTIPROJETOS,True,False,False,1,1
facebook,litho,/home/camila/repos/facebook/litho,DESCONHECIDO,False,False,False,0,0
FasterXML,jackson-core,/home/camila/repos/FasterXML/jackson-core,SINGLE_REPO,False,False,False,1,700
FasterXML,jackson-databind,/home/camila/repos/FasterXML/jackson-databind,SINGLE_REPO,False,False,False,1,977
federicoiosue,Omni-Notes,/home/camila/repos/federicoiosue/Omni-Notes,MULTIPROJETOS,True,False,False,0,0
firebase,firebase-android-sdk,/home/camila/repos/firebase/firebase-android-sdk,MULTIPROJETOS,True,False,False,0,0
flowable,flowable-engine,/home/camila/repos/flowable/flowable-engine,MULTIPROJETOS,False,False,False,135,1938
flutter,flutter-intellij,/home/camila/repos/flutter/flutter-intellij,MULTIPROJETOS,True,False,False,0,0
